,date,COAST,Farenheit_Temperature,Inches_Rain
0,2024-01-31,8982317.87,7545.9085809,307.2
1,2024-02-29,7566228.06,10532.4855996,59.400000000000006
2,2024-03-31,8220532.19,13207.7281406,96.3
3,2024-04-30,8664251.07,15090.385126,180.3
4,2024-05-31,10402761.35,18259.334647,293.8
5,2024-06-30,11798895.29,19250.285111,105.10000000000001
6,2024-07-31,10988989.48,19485.734624,484.4
7,2024-08-31,12652855.48,20420.084604,80.6
8,2024-09-30,10953908.47,18165.485126,121.3
9,2024-10-31,10509651.97,17078.734631,26.8
10,2024-11-30,9048255.56,13681.0046263,129.1
11,2024-12-31,8639487.15,11249.8846187,169.7
